"detica_investmentdriverSet", "detica_detica_investmentdriver_optevia_project_investmentdriver", "detica_detica_investmentdriver_optevia_project_investmentdriv00"
"AccountSet", "detica_detica_accountclassification_account_AccountClassification", "detica_detica_accountclassification_account_AccountClassifica00"
"detica_projectcompetitorlocationSet", "detica_optevia_project_detica_projectcompetitorlocation_competitorlocationproject", "detica_optevia_project_detica_projectcompetitorlocation_compe00"
"detica_projectcompetitorlocationSet", "detica_optevia_country_detica_projectcompetitorlocation_competitorlocationcountry", "detica_optevia_country_detica_projectcompetitorlocation_compe00"
"detica_projectcompetitorlocationSet", "detica_projectcompetitorlocation_PrincipalObjectAttributeAccesses", "detica_projectcompetitorlocation_PrincipalObjectAttributeAcce00"
"detica_investortrackrecordSet", "detica_detica_investortrackrecord_optevia_project_investortrackrecord", "detica_detica_investortrackrecord_optevia_project_investortra00"
"detica_investorukpreferenceSet", "detica_detica_investorukpreference_optevia_project_investorukpreference", "detica_detica_investorukpreference_optevia_project_investoruk00"
"detica_regulatorydrivenSet", "detica_detica_regulatorydriven_optevia_project_regulatorydriven", "detica_detica_regulatorydriven_optevia_project_regulatorydriv00"
"detica_projecttransferredSet", "detica_detica_projecttransferred_optevia_project_projecttransferred", "detica_detica_projecttransferred_optevia_project_projecttrans00"
"detica_decisionmakerknownSet", "detica_detica_decisionmakerknown_optevia_project_decisionmakerknown", "detica_detica_decisionmakerknown_optevia_project_decisionmake00"
"detica_technologyseekingSet", "detica_detica_technologyseeking_optevia_project_technologyseeking", "detica_detica_technologyseeking_optevia_project_technologysee00"
"detica_accountclassificationSet", "detica_detica_accountclassification_account_AccountClassification", "detica_detica_accountclassification_account_AccountClassifica00"
"detica_omisorderSet", "detica_detica_specialistdeliveryprovider_detica_omisorder_SpecialistDeliveryProvider", "detica_detica_specialistdeliveryprovider_detica_omisorder_Spe00"
"detica_omisorderSet", "detica_businessunit_detica_omisorder_LeadDeliveryServiceProvider", "detica_businessunit_detica_omisorder_LeadDeliveryServiceProvi00"
